Nombre,Precio,Rating,Link,Imagen
Hyundai Veloster 1.6 Mt,41.000.000,0.0,https://carro.mercadolibre.com.co/MCO-2885341514-hyundai-veloster-16-mt-2012-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_627385-MCO85241669202_062025-E.webp
Renault Alaskan 2.5 Zen,139.999.999,0.0,https://carro.mercadolibre.com.co/MCO-2885061566-renault-alaskan-25-zen-2022-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_663773-MCO85217700030_062025-E.webp
Chevrolet Tracker 1.8 Ls,31.800.000,0.0,https://carro.mercadolibre.com.co/MCO-2884621622-chevrolet-tracker-18-ls-mt-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_783892-MCO85218536672_062025-E.webp
Suzuki Swift 1.2 Hybrid,72.500.000,0.0,https://carro.mercadolibre.com.co/MCO-2884634512-suzuki-switf-12-hybrid-mt-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_695269-MCO85548866287_062025-E.webp
Chevrolet Captiva 2.4 Sport,37.000.000,0.0,https://carro.mercadolibre.com.co/MCO-2884742880-chevrolet-captiva-24-sport-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_841947-MCO85214410088_062025-E.webp
Renault Kwid 1.0 Outsider,32.800.000,0.0,https://carro.mercadolibre.com.co/MCO-1594023277-renault-kwid-10-outsider-hatch-back-2020-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_866672-MCO85496088939_052025-E.webp
Volkswagen Tiguan 2.0 Trend & Fun,44.300.000,0.0,https://carro.mercadolibre.com.co/MCO-1593878361-volkswagen-tiguan-20-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_944920-MCO85499596777_052025-E.webp
Bmw Serie 2 2.0 F44 Gran Coupe Sport Line,141.000.000,0.0,https://carro.mercadolibre.com.co/MCO-2884288740-bmw-serie-2-220i-gran-coupe-20-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_939720-MCO85499253811_052025-E.webp
D.s. Ds7 1.6 Performance Line,135.000.000,0.0,https://carro.mercadolibre.com.co/MCO-1593923863-ds-ds7-crossback-16-performance-line-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_831000-MCO85195647220_052025-E.webp
Mercedes-benz Clase E 2.0 Roadster,95.000.000,0.0,https://carro.mercadolibre.com.co/MCO-2884403502-mercedes-benz-clase-e-200-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=83254a5e-4217-4ef7-bf60-846506cdc5a9,https://http2.mlstatic.com/D_Q_NP_2X_791102-MCO85195292038_052025-E.webp
